0, 0, 0.000000, 0.000000, 
0, 0, 0.000000, 0.000000, 
0, 0, 0.000000, 0.000000, 
0, 0, 0.000000, 0.000000, 
0, 0, 0.000000, 0.000000, 
4, 2, 2.355783, -0.044058, 
17, 12, 11.380449, -0.409907, 
23, 19, 16.484322, -0.521274, 
39, 34, 28.650840, -0.938545, 
57, 53, 43.177249, -1.255513, 
64, 61, 49.067020, -1.347302, 
80, 78, 62.025523, -1.468467, 
90, 95, 72.613519, -0.906956, 
105, 102, 81.244676, -1.283800, 
119, 118, 93.025649, -1.283800, 
126, 134, 102.030325, -0.580764, 
141, 143, 111.454920, -0.639511, 
156, 156, 122.450280, -0.708050, 
164, 165, 129.125873, -0.645631, 
181, 183, 142.868672, -0.431456, 
190, 191, 149.544524, -0.410650, 
206, 208, 162.502020, -0.208713, 
222, 226, 175.847305, 0.207349, 
229, 235, 182.124510, 0.481418, 
246, 252, 195.466942, 0.980656, 
260, 268, 207.229381, 1.641221, 
267, 276, 213.109542, 1.989831, 
